text,Prediction Probabilities
"﻿THE CORRELATION BETWEEN KNOWLEDGE OF MARRIAGEABLE AGE, EDUCATION, MATCHMAKING AND CHILD MARRIAGE IN FEMALES IN BANJARNEGARA INDONESIA Background : Teenage marriage is still found in developing countries, including Indonesia. The percentage of teenage marriage in females in Indonesia is 11.5%. Various factors related to teenage marriage are education, knowledge, economy, and culture. Impacts caused by teenage marriages include pregnancy in adolescence which results in increased maternal and infant deaths, dropouts, and poor quality of the family. The prevalence of teenage marriage in Banjarnegara in 2016 was 23%, higher than the national prevalence. Objective : This study aims to determine the correlation between factors related to knowledge of marriageable age, education, matchmaking and child marriage in females in Banjarnegara Indonesia. Methods : This was a correlational cross sectional study. There were 96 respondents selected using proportionated stratified random sampling Chi square and logistic regression were used for data analysis. Results : Findings show that there were statistically significant correlations between knowledge of marriageable age, education and child marriage. There was no signifciant relationship between matchmaking and child marriage, Respondents with low knowledge were 0.5 times more likely to have child marriage compared with those with high knowledge (p = 0.001, 95% CI = 0.320-0.782). Conclusion : Knowledge of marriageable age is cosidered as the dominant factor affecting child marriage in Banjarnegara Indonesia. It is suggested that health care providers should continuously promote about the impact of child marriage to increase the knowledge of marriageable age.",73.36
"﻿Perception and attitude of pregnant women in a rural community north-west Nigeria to female genital mutilation Purpose Nigeria has the highest absolute number of residents who have undergone female genital mutilation (FGM) and most are carried out during infancy; however most reports on FGM are from urban based facilities hence we sought to know the perception and attitude of pregnant women residing in a rural community in northern Nigeria to FGM.MethodsA descriptive cross sectional study utilized a pretested structured interviewer administered questionnaire to assess the types of FGM known, reasons for performing it and willingness to support or perform FGM among 323 pregnant women attending antenatal care in two different health facilities.ResultsOf the 323 respondents, 256 (79.3 %) were aware of the practice and the common varieties of FGM known to them were Gishiri cut in 137 (53.5 %) and Angurya cut 113 (44.1). The notable reasons for carrying out FGM in the community were tradition 88 (34.4 %), to ease difficulty in childbirth 69 (26.9 %) and better marriage prospect in 55 (21.5 %). Of the respondents that were aware of FGM; 100 (39.1 %) have experienced it and 55 (21.5 %) of those aware of it would subject their daughters to the procedure. There was statistically significant association between willingness to mutilate daughters by the respondents type of education (p = 0.014) and the type of facility they were receiving antenatal care (p = 0.001).ConclusionFGM is prevalent in this community with Gishiri cut being the commonest variety. It is often associated with difficult childbirth and many women would subject their daughters to this practice. Female education and empowerment is crucial to discontinuation of this practice. LESS",73.54
"﻿Knowledge and Attitude of Secondary School Students toward Female Genital Mutilation in Khartoum State, Sudan Background: Female genital mutilation is a deeply rooted harmful practice in Sudan. Objective: This study aims to assess the knowledge and attitude of secondary school students toward Female Genital Mutilation. Methods: A school-based, descriptive cross-sectional study was conducted in Karary Locality, Khartoum State, Sudan. Four secondary schools for girls were involved in the study. From each school, two second grade classes were randomly selected, and data were collected from all students (292) in these two classes using an author-designed questionnaire. Results: The students were between 14 to 19 years old. Most of them (61.3%) were not circumcised. Regarding students’ knowledge about female genital mutilation types, 23.6% of them knew type 1 and 21.2% knew type 4. On the other hand, only 15.1% and 8.6% knew type 2 and 3, respectively. The majority of the students knew that bleeding, delivery problems and recurrent infections are possible female genital mutilation complications. Additionally, 78.8% of the student thought that circumcision should be stopped, and 70.9% of them would disagree if one of the families wants to circumcise a girl. Furthermore, 74.3% would advise their family members not to practice circumcision, and 68.8% agreed to join activities that aim to stop female genital mutilation. In fact, 68.8% perceive female genital mutilation as a violation to human rights, and 76.0% encourage legislations that fight female genital mutilation. Last of all, 79.8% of the students will not circumcise their daughters. Conclusion: The majority of the students showed good knowledge about female genital mutilation complications. While, minority of them knew its types. Moreover, respondents showed a good attitude toward stopping female genital mutilation.",90.18
"﻿Urogenital complications among girls with genital mutilation: a hospital-based study in Khartoum. To explore paediatric complications of female genital mutilation (FGM), 255 consecutive girls aged 4-9 years presenting to an emergency ward in Sudan were included in this clinical study. Full examination, including inspection of genitalia, was performed. Dipsticks for nitrite and leucocytes were used to diagnose suspected urinary tract infection (UTI). Girls with a form of FGM narrowing vulva had significantly more UTI than others, and among girls below the age of seven there was a significant association between FGM and UTI. Only 8% of girls diagnosed as having UTI reported urogenital symptoms. In spite of the fact that 73% of the girls subjected to FGM were reported to have been bedridden for one week or more after the operation, only 10% stated immediate complications. We conclude that FGM contributes significantly to morbidity among girls, a large share of which does not come to medical attention.",73.73
"﻿Domestic Violence Against Married Women in Cambodia We evaluate the effects of marital resources and early-life experiences on recent domestic violence and attitudes about wife abuse among 2,074 married Cambodian women. Household standard of living was negatively associated with physical domestic violence. Women with 8-13 fewer years of schooling than their husbands more often experienced physical and psychological domestic violence. Women with more living children more often experienced physical domestic violence and justified wife beating. Having surviving parents and siblings was not associated with domestic violence nor with attitudes about wife beating. Women reporting higher paternal schooling, urban childhood residence and domestic violence against their mothers had higher odds of experiencing physical and psychological domestic violence. Findings underscore the effects of marital resources and early-life experiences on domestic violence in Cambodia.",94.0
"﻿Sexual violence against women living with or at risk for HIV infection. OBJECTIVES This study investigates factors associated with sexual violence against adult women living with and at risk for HIV infection. METHODS Women at least 18 years old and living in Rhode Island or southeast Massachusetts enrolled from 1987 to 1992 in a cohort study of heterosexual HIV risk. A total of 408 women provided interviews on lifetime experiences of rape and HIV-related risk exposures. Data are presented on 96 women reporting experiences with rape as adults, and 231 women who reported never experiencing rape or forced sex. RESULTS Lifetime prevalence of sexual abuse was 43%. Over half occurred during adulthood. Thirty-five percent of women with HIV were raped as adults. Among women with HIV, adult rape experiences were associated with earlier age of first sex, more sexual partners, unprotected sex involving drugs, earlier age of injection drug use, teen pregnancy, STDs, and serious gynecologic surgery than those reporting they were never raped (prevalence odds ratios ranged from 2.8 to 11.2). Among women without HIV, adult rape was associated with similar experiences, although with some exception, the relative odds estimates were less pronounced. Women engaged in sex work were more likely to report rape. CONCLUSION The high prevalence of rape reported in this cohort of mostly economically poor women living with and at risk for HIV infection is consistent with other studies. Economic and social vulnerability that frames HIV risk and subsequent infection in women includes rape. Clinicians caring for women with HIV and counseling women at risk for infection need to screen routinely for sexual abuse.",89.76
"﻿Eradicating female genital mutilation and cutting in Tanzania: an observational study BackgroundFemale genital mutilation and cutting (FGM/C) has long been practiced in various parts of the world. The practice is still prevalent in 29 countries on the African continent despite decades of campaigning to eradicate it. The approaches for eradication have been multi-pronged, including but not limited to, health risk campaigns teaching about the health consequences for the girls and the women, recruitment of change agents from within the communities and the enforcement of legal mechanisms.The purpose of this study was to analyse the impact of an 18 month long campaign to eradicate or reduce FGM/C in a rural predominantly Masai community.MethodsAn observational study involving mixed methods, quantitative and qualitative was conducted in Arusha region, Tanzania. A household survey, key informant interviews, focus group discussions, school children's group discussions and project document reviews for both baseline and endline assessments were used. Same tools were used for both baseline and endline assessements. Comparison of baseline and endline findings and conclusions were drawn.ResultsThe prevalence of self reported FGM/C at endline was 69.2 %. However, physical obstetric examination of women in labour revealed a prevalence of over 95 % FGM/C among women in labour.Those in favour of FGM/C eradication were 88 %. Nearly a third of the 100 FGM practitioners had denounced the practice; they also formed a peer group that met regularly comparing baseline and endline. Knowledge about FGM/C health risks increased from 16 to 30 % (p < 0.001). The practice is currently done secretly to an uncertain extent.ConclusionThis multifaceted educational campaign achieved moderate success in increasing knowledge of the health risks and changing attitudes despite a short period of intervention. However, its effectiveness in reducing FGM/C prevalence was uncertain.",61.43
"﻿Girls’ Education and Child Marriage in West and Central Africa: Trends, Impacts, Costs, and Solutions* Abstract Within the context of women’s lack of empowerment, the issues of child marriage and low educational attainment for girls are prominent, especially in West and Central Africa. Using survey data for 21 of the 25 countries in West and Central Africa, this article analyzes trends over time in educational attainment for girls and child marriage. Over the last two and a half decades, not accounting for differences in population sizes between countries, according to the latest DHS and MICS surveys available in each country, completion rates increased on average by 24 points, 14 points, and 8 points at the primary, lower secondary, and upper secondary levels, respectively. The prevalence of child marriage decreased by about 8 points over that period. Clearly, progress at the secondary level has been weaker than at the primary level, probably in part due to the persistence of high rates of child marriage in many countries. The article suggests that ending child marriage should improve girls’ educational attainment, and conversely, improving girls’ educational attainment should help reduce child marriage. This, in turn, could have major impacts toward contributing to empowering women more broadly. A review of impact evaluations for pilot interventions suggests how ending child marriage and improving educational attainment for girls could be done, with potentially large economic benefits not only for girls and their future household, but also for the region as a whole",72.84
"﻿Effects of female genital mutilation on birth outcomes in Switzerland. OBJECTIVE The primary aim of this study was to determine the desires and wishes of pregnant patients vis-à-vis their external genital anatomy after female genital mutilation (FGM) in the context of antenatal care and delivery in a teaching hospital setting in Switzerland. Our secondary aim was to determine whether women with FGM and non-mutilated women have different fetal and maternal outcomes. DESIGN A retrospective case-control study. SETTING A teaching hospital. POPULATION One hundred and twenty-two patients after FGM who gave consent to participate in this study and who delivered in the Department of Obstetrics and Gynaecology in the University Hospital of Berne and 110 controls. METHODS Data for patients' wishes concerning their FGM management, their satisfaction with the postpartum outcome and intrapartum and postpartum maternal and fetal data. As a control group, we used a group of pregnant women without FGM who delivered at the same time and who were matched for maternal age. MAIN OUTCOME MEASURES Patients' satisfaction after delivery and defibulation after FGM, maternal and fetal delivery data and postpartum outcome measures. RESULTS Six percent of patients wished to have their FGM defibulated antenatally, 43% requested a defibulation during labour, 34% desired a defibulation during labour only if considered necessary by the medical staff and 17% were unable to express their expectations. There were no differences for FGM patients and controls regarding fetal outcome, maternal blood loss or duration of delivery. FGM patients had significantly more often an emergency Caesarean section and third-degree vaginal tears, and significantly less first-degree and second-degree tears. CONCLUSION An interdisciplinary approach may support optimal antenatal and intrapartum management and also the prevention of FGM in newborn daughters.",92.84
"Title: Measuring the well-being of health care professionals in the Punjab: a psychometric evaluation of the Warwick–Edinburgh Mental Well-being Scale in a Pakistani populatio Background. There is growing awareness of the public health importance of mental well-being both in the general population and in specific groups. The well-being of health professionals is likely to influence the quality of the care they deliver. This study was carried out to examine the well-being of Pakistani healthcare professionals, and to evaluate the psychometric performance of the Warwick–Edinburgh Mental Well-being Scale (WEMWBS) in this population. Methods. A cross-sectional survey was carried out from June, 2013 to December, 2014 among 1,271 Pakistani health care providers (HCPs) working in seven different cities in Punjab province, Pakistan, to examine the acceptability, internal consistency, test-retest reliability and content and construct validity of the English version of the WEMWBS in a Pakistani population sample. All data were analyzed in SPSS v. 21. Results. Our analysis demonstrated unidimensional construct validity, high internal consistency (0.89) and test-retest reliability, good validity and easy readability of WEMWBS in our sample of Pakistani HCPs. The mean WEMWBS score was 48.1 (SD 9.4), which is lower than in the general population in other countries. Male HCPs scored significantly higher on the WEMWBS than their female counterparts (P < 0.05), and older respondents had higher scores. Conclusion. The WEMWBS appears acceptable for use in Pakistani HCPs, and findings from this study verify its validity and internal consistency for this population sample. Our respondents had lower well-being scores than those reported in general population surveys in the UK.",72.85
"Title: The neglected millions: the global state of aquaculture workers' occupational safety, health and well-being Abstract A scoping project was funded by the Food and Agriculture Organization in 2017 on the health and safety of aquaculture workers. This project developed a template covering basic types of aquaculture production, health and safety hazards and risks, and related data on injuries and occupational ill health, regulations, social welfare conditions, and labour and industry activity in the sector. Profiles using the template were then produced for key aquaculture regions and nations across the globe where information could be obtained. These revealed both the scale and depth of occupational safety and health (OSH) challenges in terms of data gaps, a lack of or poor risk assessment and management, inadequate monitoring and regulation, and limited information generally about aquaculture OSH. Risks are especially high for offshore/marine aquaculture workers. Good practice as well as barriers to improving aquaculture OSH were noted. The findings from the profiles were brought together in an analysis of current knowledge on injury and work-related ill health, standards and regulation, non-work socioeconomic factors affecting aquaculture OSH, and the role of labour and industry in dealing with aquaculture OSH challenges. Some examples of governmental and labour, industry and non-governmental organisation good practice were identified. Some databases on injury and disease in the sector and research initiatives that solved problems were noted. However, there are many challenges especially in rural and remote areas across Asia but also in the northern hemisphere that need to be addressed. Action now is possible based on the knowledge available, with further research an important but secondary objective.",73.47
"Title: The Everyday Feeling Questionnaire: the structure and validation of a measure of general psychological well-being and distress Background: Psychological distress and well-being underlie the continuum of susceptibility to common mental disorders. Our objective was to provide a simple and acceptable measure of psychological distress and well-being to collect information from subjects and informants in non-clinical samples, to explore its internal structure, concurrent and external validity. Method: Self and partner versions of the ten-item Everyday Feeling Questionnaire (EFQ) were administered to 5,279 adults. The 12-item General Health Questionnaire (GHQ) was used to establish concurrent validity. Socioeconomic status, child psychopathology, and family functioning served as external validators. Results: The EFQ was internally consistent with all items loading strongly on a single common factor. Item response analysis showed excellent sensitivity of the ten items, balanced contribution of well-being and distress items and good information content across a broad range. The internal structure of partner version did not differ from self-report. The constructs measured by the EFQ and GHQ were distinct, but highly correlated. The EFQ’s correlations with external validators were stronger than GHQ’s ones. Conclusion: Psychological well-being and distress are measurable as a single construct, using the EFQ. The partner-report version will facilitate the collection of data on multiple household members or on the same individual from two or more sources.",61.21
"Title: Mental health and well-being concerns of fly-in fly-out workers and their partners in Australia: a qualitative study Abstract Objectives: Fly-in fly-out (FIFO) work involves commuting long distances to the worksite and living in provided accommodation for 1-4 weeks while on shift. While the potentially detrimental impact of FIFO work on the health and well-being of workers has been documented, little attention has been paid to how workers, or their partners, cope with this impact. This study sought to investigate how workers and their partners negotiate the impact of FIFO on their mental health and well-being. Design: The study design was qualitative. FIFO workers and partners responded to open-ended questions on concerns about the FIFO lifestyle and the support they use. Setting: Australian FIFO workers and partners responded to the questions via email. Participants: Participants were 34 FIFO workers (25 men, M age=41 years) and 26 partners of FIFO workers (26 women, M age=40 years). Results: Participant-validated thematic analysis generated three main themes: managing multiple roles, impact on mental health and well-being, and social support needs. Results revealed difficulties in adjusting between the responsibilities of perceptually distinct on-shift and off-shift lives, and managing potential psychological distance that develops while workers are on site. Participants emphasised the importance of maintaining quality communication and support from family members. Workers and partners attempted to maintain mental health and well-being by regularly engaging with support networks, although many felt organisational support was tokenistic, stigmatised or lacking. Conclusions: Recommendations for enhancing support provided by FIFO organisations are offered. In particular, organisations should emphasise the importance of good mental health and well-being, maintain transparency regarding potential challenges of FIFO lifestyles, and offer professional support for managing multiple social roles and effective communication. Keywords: Health; Long-distance Commuting; Relationship Communication; Shift-work; Wellbeing.",91.83
"A retrospective study on the unseen epidemic of road traffic injuries and deaths due to accidents in Mwanza City - Tanzania. Backgrounds: Sixty percent of the global deaths and injuries occur in the developing world and mostly are due to Road traffic accidents (RTAs. looking at the etiological related factors which include, carelessness of the driver, condition of the vehicle or motorcycle, poor condition of roads, risky behavior of the driver, most of these factors can be prevented to some extent. This study therefore, determined the pattern of cases and deaths due to traffic road accidents in Mwanza City Tanzania. Methods: In this retrospective study, records, registers and case notes In the surgical ward and causality, medical records and central police station from 2008 to 2011 were used. The study focused on the two referral hospitals (Sekouture regional hospital and Bugando Medical Center). Results: There were 3450 cases due to accidents reported at both centers (Sekouture regional hospital and Bugando Medical Center of which 3224 (93.4%) had complete information for analysis. 2225 (69%) were male and 999 (31%) were female, and the most affected group were male. Among the RTAs2809 cases (87%) were due to motor cycle accidents which were the leading cause of RTAs with case fatality rate of 5% while motor vehicle has case fatality rate of 24% which is 5 times that of motor cycle. Conclusion and recommendation: Among all RTAs the leading cause of injuries is Motor cycle traffic accidents followed by motor vehicle. RTAs are on increase particularly the motor cycle traffic accidents and has claimed a good number of innocent people's lives however most of them are preventable, therefore driving course to be introduced to motor cycle drivers with emphasize on the road posters signal, rules and regular checkup of their motor cycles especially commercial motor cycle.",86.76
"Title: Safety, Health, and Well-Being of Municipal Utility and Construction Workers Objective: To provide a baseline description of psychosocial workplace stressors and supports along with safety, injury, health, and well-being indicators in a sample of utility and construction workers for a National Institute for Occupational Safety and Health–funded Total Worker Health™ intervention study. Methods: Survey responses and health assessments were collected from a total of 349 employees in two municipal utility departments. Results: Participants demonstrated poor weight control and body mass index and provided reports of frequent poor health habits, injury, and pain. Although safety climate was good, less desirable levels of psychosocial workplace stressors and supports were observed. These stressors and supports were found to relate with many of the health, injury, and pain indicators. Conclusions: These results demonstrate the need for workplace interventions to promote and protect construction worker health and the importance of the psychosocial work environment.",83.18
"Title: Measuring physical and mental health during pregnancy and postpartum in an Australian childbearing population - validation of the PROMIS Global Short Form Abstract Background: Health related quality of life is a critical concept during the perinatal period but remains under-researched. The International Consortium for Health Outcomes Measurement have included the Patient Reported Outcomes Measurement Information System (PROMIS®) Global Short Form (GSF) in their core outcome set for pregnancy and childbirth to measure health related quality of life. The PROMIS GSF has not been fully evaluated as a valid and reliable instrument in this population. This study assessed the psychometric properties of the PROMIS GSF during pregnancy and postpartum period. Methods: PROMIS GSF was administered to a sample of 309 pregnant women at four time-points during pregnancy (≤ 27 and 36-weeks) and postpartum (6- and 26-weeks). The structural validity, internal consistency reliability, construct validity, and responsiveness of the PROMIS GSF were evaluated. The internal structure of the PROMIS GSF was explored using Rasch Measurement Theory. Response format, item fit, differential item functioning (item bias), dimensionality of the scale and its targeting were assessed. Results: Two revised subscales (Mental Health: four items; and Physical Health: five items) showed good fit to the Rasch model. The revised mental health subscale demonstrated good internal consistency reliability during pregnancy and postpartum period (α = .88 and .87, respectively). The internal consistency reliability of the physical health subscale was adequate (α = .76 and .75, respectively). The revised mental health subscale was sensitive to group differences according to a history of mental health disorder, income, smoking status, drug use, stress levels and planned versus unplanned pregnancy. Differences in scores on the revised physical subscale were detected for groups based on obesity, income, drug use, smoking status, stress, and history of mental health disorders. Scores on both subscales recorded significant changes across the four time-points, spanning pregnancy and postpartum period. Conclusions: The revised version of the PROMIS GSF was better able to measure mental and physical health during pregnancy and postpartum period compared to the original version. Findings support the clinical and research application of the PROMIS GSF within the International Consortium for Health Outcomes Measurement Standard Set of Outcome Measures for Pregnancy and Childbirth. Ongoing psychometric analysis of the PROMIS GSF is recommended in other maternity populations. Keywords: Health related quality of life (HRQoL); International Consortium for Health Outcomes Measurement (ICHOM); Mental health; Patient Reported Outcomes Measurement Information System (PROMIS); Physical health; Postpartum; Pregnant women; Psychometric evaluation; Quality of life; Rasch analysis.",70.66
"Importance of community engagement in primary health care: the case of Afghan refugees. Refugees can experience problems accessing and utilising Australian primary health care services, resulting in suboptimal health outcomes. Little is known about the impact of their pre-migration health care experiences. This paper demonstrates how the Afghan pre-migration experiences of primary health care can affect engagement with Australian primary care services. It considers the implications for Australian primary health care policy, planning and delivery. This paper is based on the international experiences, insights and expert opinions of the authors, and is underpinned by literature on Afghan health-seeking behaviour. Importantly, Afghanistan and Australia have different primary health care strategies. In Afghanistan, health care is predominantly provided through a community-based outreach approach, namely through community health workers residing in the local community. In contrast, the Australian health care system requires client attendance at formal health service facilities. This difference contributes to service access and utilisation problems. Community engagement is essential to bridge the gap between the Afghan community and Australian primary health care services. This can be achieved through the health sector working to strengthen partnerships between Afghan individuals, communities and health services. Enhanced community engagement has the potential to improve the delivery of primary health care to the Afghan community in Australia.",60.87
"Road traffic injuries in Poland: magnitude and risk factors. Introduction: The article presents the epidemiology of road traffic injuries and fatalities in Poland in the years 2004-2014. In Poland, every fourth death caused by external reasons is the result of a road traffic crash and Poland has one of the highest road fatality rates in relation to vehicle ownership in Europe, with an average 23 deaths per million residents. This rate is two times higher than most other European Union countries. Materials and methods: The research is based on a secondary analysis of data contained in multiple Polish governmental reports, including those of the Prevention and Analysis Office of Road Traffic Headquarters of Police, National Road Safety Program-GAMBIT 2005, National Road Safety Program 2013 to 2020, and Strategy for Efficient State in 2020, plus previous publications describing road safety in Poland. Data were analysed in two steps. First, the data were described using means and frequencies, and tabulated according to variables. Second, we considered the time frame (day, month, and year of the occurrence), the place and the circumstances of fatal road crashes, the kind of event, and types of road crashes. Results: Between 2004 and 2014, there were 475,591 traffic crashes on Polish roads. 52,217 people were killed and 597,191 people were injured. Traffic-related injuries represent the leading cause of death for Polish men up to 44 years of age. The most common cause of road crashes in Poland was failure to comply with the rules of the road traffic, such as through excessive speeding. We also found drivers poorly assessed road situations, faced a lack of adequate road infrastructure, and maintained many vehicles in poor condition. Discussion: Despite the variety of measures undertaken to improve safety on Polish roads, including modifications of the law as well as improving road quality, the number of fatalities and injuries resulting from motor vehicle crashes is still considerable, and the losses incurred by Polish society are still substantial. Conclusions: The number of fatalities and injuries as a result of road crashes in Poland remains very high. Multifaceted action to improve safety on the roads in Poland should continue. Keywords: Injury rates; Mortality rates; Road traffic safety; Traffic violations; Vehicle speeding.",53.3
"Title: Self-reported general health in older adults in Latin America and the Caribbean: usefulness of the indicator Objectives: To evaluate self-reported general health (SRGH) as a health indicator and to analyze its covariates in people 60 years old or older living in private homes in seven cities of Latin America and the Caribbean. Methods: This cross-sectional descriptive study was based on data from the Health, Well-Being, and Aging survey (Salud, Bienestar y Envejecimiento, or ""SABE survey""), which was carried out in 1999 and 2000 in Bridgetown, Barbados; Buenos Aires, Argentina; Havana, Cuba; Mexico City, Mexico; Montevideo, Uruguay; Santiago, Chile; and São Paulo, Brazil. The survey looked at the demographic and socioeconomic characteristics of the participants, several health indicators (self-reported chronic diseases, depression, and cognitive features), the social and family support network, the use of health services, reported and observed functionality, the respondent's income, and the durable consumer goods in the household. In probit regression models, self-reported fair or poor health was used as the dependent variable. The marginal effect of each categorical explanatory variable was used to indicate the difference between the probability of reporting poor health by persons who did or did not have a given characteristic. Results: In all the cities studied the self-reporting of ""excellent"" health was very low (6% or less). The results of the multivariate analysis of the relationships between SRGH and covariates showed: (1) the relative importance of several health indicators as covariates of SRGH, (2) the association between sociodemographic characteristics and SRGH, and (3) the differences or similarities found among the seven cities with respect to the relationships studied. The level of self-rated good health was highest in Buenos Aires and Montevideo (60%), followed by Bridgetown and São Paulo (around 50%) and Havana, Santiago, and Mexico City (between 30% and 40%). The respondents' evaluation of their memory was the factor that was most strongly related to SRGH, followed by satisfaction with nutritional status and satisfaction with life. Conclusions: The SRGH captured multiple facets of the health of the older adults, such as suffering from chronic diseases, the degree of satisfaction with the level of nutrition and with life, perception of memory, and any functional problems. More detailed studies should be undertaken to try to determine the role that the emotional health of older adults in Latin America and the Caribbean plays in the demand for health care, and to determine if there is some association between SRGH and the use of health services.",57.42
"Title: What does a good night's sleep mean? Nonlinear relations between sleep and children's cognitive functioning and mental health Abstract Study objectives: We attempted to identify the duration and quality of sleep associated with the optimal child outcomes in key developmental domains including cognitive functioning, academic performance, and mental health. In doing so, we examined nonlinear associations between the sleep and developmental variables. Based on racial/ethnic disparities in children's sleep, we assessed this variable as a moderator of examined relations. Methods: Two hundred eighty-two children participated (Mage = 9.4 years, SD = .72; 52% boys; 65% white/European American, 35% black/African American). Sleep was examined with actigraphy for seven consecutive nights and with self-reports. Actigraphy-based sleep duration (minutes) and quality (efficiency), as well as self-reported sleep quality were derived. Children reported on their mental health and were administered cognitive performance tests. Mothers and teachers reported on children's mental health; teachers also reported on academic functioning. Schools provided academic achievement data. Results: Sleep duration had an accelerating nonlinear negative association with externalizing behaviors. Nonlinear associations were also detected between both actigraphy-derived and subjective reports of sleep quality and multiple developmental domains including academic functioning and mental health and the best functioning corresponded with the highest levels of sleep quality. Emphasizing the importance of individual differences, several examined associations were moderated by race/ethnicity. Conclusions: Sleep duration and quality emerged as nonlinear predictors of multiple domains of child development. Findings illustrate that the benefits of longer and better-quality sleep did not taper off and that assessments of nonlinear relations may enhance understanding of the nature of associations between sleep and child functioning. Keywords: academic achievement; actigraphy; children; cognitive functioning; mental health; sleep.",64.1
"GBD-2010 overestimates deaths from road injuries in OECD countries: new methods perform poorly. Background: We assessed the quality of Global Burden of Disease-2010 (GBD-2010) estimates of road injury deaths by comparing with government statistics for Organisation for Economic Co-operation and Development (OECD) countries that report to the International Road Traffic Accident Database (IRTAD). Methods: We obtained tabulated data for 25 OECD countries that report to IRTAD and also report vital registration (VR) data to WHO. We collated VR deaths corresponding to the GBD-2010 road injury definition and estimated 'traffic', 'non-traffic' and 'unspecified whether traffic or non-traffic' components. We estimated national road injury deaths by redistributing partially specified causes of death, as was done by GBD until this was replaced by more complex methods in GBD-2010. Results: GBD-2010 estimates of road injury deaths exceeded IRTAD by 45% overall. IRTAD values fell below the GBD-2010 95% uncertainty interval in all but three countries. Mismatch of conceptual scope accounted for about 8% of this discrepancy, 5% was because GBD-2010 included cases other than road traffic and 3% because GBD-2010 (unlike IRTAD) includes deaths >30 days after injury. Pro rata distribution of partially specified causes in VR data gave estimates that were 18% higher than IRTAD but closer than GBD-2010 estimates for all but two countries. Cases in VR data specified as road injury gave estimates closer to IRTAD. Conclusions: GBD-2010 road injury mortality estimates are substantially higher than the road death toll in OECD countries. The discrepancy is not explained by wider scope of the GBD road injury construct nor by undercounting by IRTAD. GBD-2010 likely attributed substantially more deaths with partially specified causes to road injuries than is appropriate. Keywords: Global Burden of Disease; OECD countries; Road traffic injuries.",76.79
"Abstract Objective: Michigan's infant mortality rate is consistently higher than the national rate, with persistent and significant racial/ethnic disparities. In Michigan, nine counties account for more than 80% of all infant deaths. A home visiting program serving low-income, first-time mothers in high-risk communities is one strategy to reduce infant mortality. The objective of this study was to quantify the risk of infant mortality based on race/ethnicity within Michigan's highest-risk counties to guide outreach for home visiting services in these counties. Methods: To maximize the efficiency of limited resources and to identify women at highest risk, we used decomposition to develop risk-based, county-specific estimates of excess infant deaths in nine Michigan counties using data from the 2007 to 2009 Michigan resident infant death file linked to the live birth/file. Results: The sample size for these counties was 200,610 live births and 1,836 infant deaths and for the reference population it was 195,180 live births and 1,133 infant deaths The study found that excess mortality varies among populations at the county level when compared to the reference population of infants born to Michigan mothers who attained more than a high school education and were at least 20 years of age at the infant's birth. The excess risk of mortality was highest for African American infants in seven of the nine counties (56.5% to 132.8%) and for Hispanic infants (86.6%) and white infants (48.2%) in one county each. Conclusion: Even with a longstanding commitment and legal mandate to reduce disparities and with efforts to improve outreach into high-risk areas, disparities persist. An improved understanding of the racial/ethnic disparities within communities was useful to focus outreach efforts on reaching women at highest risk as part of subsequent program enrollment.",56.98
"Title: Indigenous men's groups and social and emotional well-being: an indigenous doctor's perspective Abstract Objectives: Traditional indigenous society promoted the social and emotional well-being of indigenous men through the meeting of men in daily life and during ceremonial times. There is an increasing recognition that men's groups use similar mechanisms to enhance the social and emotional well-being of participants and their communities. This paper seeks to increase understanding of the processes and impacts of contemporary indigenous men's groups from an indigenous doctor's perspective. Method: Review of published and unpublished literature and reflections on the primary author's experiences within several indigenous men's groups using a participatory action research model were used to examine how participation within these groups can improve social and emotional well-being. Results: There is a scarcity of published data on the distribution, activities and outcomes of indigenous men's groups. Published qualitative and experiential observations suggest that they contribute to improved social and emotional well-being for participants, their families and communities. Conclusions: Men's groups may be a good adjunct to the outpatient care of indigenous patients. As the published literature is entirely qualitative, mixed methods evaluation using appropriate and sensitive measures would assist in systematically capturing the impacts and outcomes of men's groups. Such evaluations could enhance programme longevity and encourage the referral of patients by mainstream mental health practitioners. Keywords: Empowerment; indigenous Australians; indigenous men’s groups; social and emotional well-being; social determinants.",74.38
